Club,Stadium,Stadium City,TotalWins,Year,,,,,,,,,,,,
Al Ittihad,Prince Abdullah Al Faisal Sports City Stadium, Jeddah,26,2024/25,,,,,,,,,,,,
Al Hilal,Kingdom Arena, Riyadh,23,2024/25,,,,,,,,,,,,
Al Ahli,Prince Abdullah Al Faisal Sports City Stadium, Jeddah,21,2024/25,,,,,,,,,,,,
Al Qadsiah,Prince Mohammed Bin Fahd Stadium, Dammam,21,2024/25,,,,,,,,,,,,
Al Nassr,Al-Awwal Park, Riyadh,20,2024/25,,,,,,,,,,,,
Al Shabab,Al Shabab Club Stadium, Riyadh,18,2024/25,,,,,,,,,,,,
Al Ettifaq,EGO Stadium, Dammam,14,2024/25,,,,,,,,,,,,
Al Kholood,Al Hazem Club Stadium, Ar Rass,12,2024/25,,,,,,,,,,,,
Al Taawoun,Al Taawoun Club Stadium, Buraydah,12,2024/25,,,,,,,,,,,,
Al Fateh,Al Fateh Club Stadium, Al-Hasa,11,2024/25,,,,,,,,,,,,
Al Khaleej,Prince Mohammed Bin Fahd Stadium, Dammam,10,2024/25,,,,,,,,,,,,
Al Orobah,Al Jouf University Stadium, Sakaka,10,2024/25,,,,,,,,,,,,
Al Riyadh,Prince Faisal bin Fahd Stadium, Riyadh,10,2024/25,,,,,,,,,,,,
Al Okhdood,Prince Hathloul Bin Abdulaziz Sport City Stadium, Najran,9,2024/25,,,,,,,,,,,,
Al Wehda,Prince Abdullah Al Faisal Sports City Stadium, Jeddah,9,2024/25,,,,,,,,,,,,
Damac,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,9,2024/25,,,,,,,,,,,,
Al Fayha,Al Majma’a Sport City Stadium, Al Majma'ah,8,2024/25,,,,,,,,,,,,
Al Raed,Al Raed Club Stadium, Buraydah,6,2024/25,,,,,,,,,,,,
Al Hilal,Prince Faisal bin Fahd Stadium, Riyadh,31,2023/24,,,,,,,,,,,,
Al Nassr,Al-Awwal Park, Riyadh,26,2023/24,,,,,,,,,,,,
Al Ahli,King Fahd Sport City, Taif,19,2023/24,,,,,,,,,,,,
Al Ittihad,Alinma Stadium, Jeddah,16,2023/24,,,,,,,,,,,,
Al Taawoun,Al Taawoun Club Stadium, Buraydah,16,2023/24,,,,,,,,,,,,
Al Fateh,Al Fateh Club Stadium, Al-Hasa,12,2023/24,,,,,,,,,,,,
Al Ettifaq,Al Ettifaq Club Stadium, Dammam,12,2023/24,,,,,,,,,,,,
Al Shabab,Al Shabab Club Stadium, Riyadh,12,2023/24,,,,,,,,,,,,
Al Fayha,Al Majma’a Sport City Stadium, Al Majma'ah,11,2023/24,,,,,,,,,,,,
Al Wehda,King Abdulaziz Sports City Stadium, Mecca,10,2023/24,,,,,,,,,,,,
Damac,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,10,2023/24,,,,,,,,,,,,
Abha,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,9,2023/24,,,,,,,,,,,,
Al Okhdood,Prince Hathloul Bin Abdulaziz Sport City Stadium, Najran,9,2023/24,,,,,,,,,,,,
Al Khaleej,Prince Saud Bin Jalawi Stadium, Khobar,9,2023/24,,,,,,,,,,,,
Al Raed,Al Raed Club Stadium, Buraydah,9,2023/24,,,,,,,,,,,,
Al Riyadh,Prince Turki bin Abdulaziz, Riyadh,8,2023/24,,,,,,,,,,,,
Al Tai,Prince Abdulaziz Bin Musaid Sport City Stadium, Ha'il,8,2023/24,,,,,,,,,,,,
Al Hazem,Al Hazem Club Stadium, Ar Rass,4,2023/24,,,,,,,,,,,,
Al Ittihad,King Abdullah Sports City, Jeddah,,,,,,,,,,,,,," Jeddah	22	2022/23"
Al Nassr,Al Awwal Park at King Saud University, Riyadh,20,2022/23,,,,,,,,,,,,
Al Hilal,Prince Faisal bin Fahd Stadium, Riyadh,17,2022/23,,,,,,,,,,,,
Al Shabab,Prince Faisal bin Fahd Stadium, Riyadh,17,2022/23,,,,,,,,,,,,
Al Taawoun,Al Taawoun Club Stadium, Buraydah,16,2022/23,,,,,,,,,,,,
Al Fateh,Prince Abdullah Bin Jalawi Stadium, Al Ahsa,13,2022/23,,,,,,,,,,,,
Abha,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,10,2022/23,,,,,,,,,,,,
Al Ettifaq,Prince Mohammed Bin Fahd Stadium, Dammam,10,2022/23,,,,,,,,,,,,
Al Tai,Prince Abdulaziz Bin Musaid Sport City Stadium, Ha'il,10,2022/23,,,,,,,,,,,,
Al Khaleej,Prince Mohammed Bin Fahd Stadium, Dammam,9,2022/23,,,,,,,,,,,,
Al Raed,King Abdullah Sport City Stadium, Buraidah,9,2022/23,,,,,,,,,,,,
Damac,Damac Club Stadium, Khamis Mushait,9,2022/23,,,,,,,,,,,,
Al Fayha,Al Majma’a Sport City Stadium, Al Majma'ah,8,2022/23,,,,,,,,,,,,
Al Wehda,King Abdulaziz Sports City Stadium, Mecca,8,2022/23,,,,,,,,,,,,
Al Adalah,Prince Abdullah Bin Jalawi Stadium, Al Ahsa,7,2022/23,,,,,,,,,,,,
Al Batin,Al Batin Stadium, Hafar Al-Batin,5,2022/23,,,,,,,,,,,,
Al Hilal,Prince Faisal bin Fahd Stadium, Riyadh,20,2021/22,,,,,,,,,,,,
Al Ittihad,King Abdullah Sports City, Jeddah,,,,,,,,,,,,,," Jeddah	20	2021/22"
Al Nassr,Al Awwal Park at King Saud University, Riyadh,19,2021/22,,,,,,,,,,,,
Al Shabab,Prince Faisal bin Fahd Stadium, Riyadh,15,2021/22,,,,,,,,,,,,
Damac,Prince Sultan bin Abdulaziz Sports City Stadium, Abha,12,2021/22,,,,,,,,,,,,
Al Tai,Prince Abdulaziz Bin Musaid Sport City Stadium, Ha'il,11,2021/22,,,,,,,,,,,,
Al Raed,King Abdullah Sport City Stadium, Buraidah,10,2021/22,,,,,,,,,,,,
