Kit number,Player,Position,Age,Nat.,Height,Foot,Market value (€),Overall,Club
22,Agustín Rossi,Goalkeeper,27,Argentina,1.93m,right,6000000,71,Al-Nassr
25,David Ospina,Goalkeeper,34,Colombia,1.83m,right,3000000,66,Al-Nassr
44,Nawaf Al-Aqidi,Goalkeeper,23,Saudi Arabia,1.86m,unknown,600000,61,Al-Nassr
1,Amin Al-Bukhari,Goalkeeper,26,Saudi Arabia,1.94m,right,75000,60,Al-Nassr
33,Waleed Abdullah,Goalkeeper,37,Saudi Arabia,1.96m,right,25000,60,Al-Nassr
21,Álvaro González,Defender,33,Spain,1.82m,right,2300000,64,Al-Nassr
5,Abdulelah Al-Amri,Defender,26,Saudi Arabia,1.83m,right,1300000,62,Al-Nassr
78,Ali Lajami,Defender,27,Saudi Arabia,1.78m,right,550000,61,Al-Nassr
4,Mohammed Al-Fatil,Defender,31,Saudi Arabia,1.79m,right,100000,60,Al-Nassr
2,Sultan Al-Ghannam,Defender,29,Saudi Arabia,1.73m,right,2000000,64,Al-Nassr
12,Nawaf Al-Boushal,Defender,23,Saudi Arabia,1.78m,right,400000,61,Al-Nassr
18,Luiz Gustavo,Midfielder,35,Brazil,1.87m,left,800000,61,Al-Nassr
17,Abdullah Al-Khaibari,Midfielder,26,Saudi Arabia,1.78m,right,500000,61,Al-Nassr
19,Ali Al-Hassan,Midfielder,26,Saudi Arabia,1.76m,right,450000,61,Al-Nassr
8,Abdulmajeed Al-Sulayhim,Midfielder,29,Saudi Arabia,1.65m,right,850000,62,Al-Nassr
94,Talisca,Midfielder,29,Brazil,1.90m,left,15000000,88,Al-Nassr
10,Gonzalo Martínez,Midfielder,30,Argentina,1.72m,left,7000000,73,Al-Nassr
14,Sami Al-Najei,Midfielder,26,Saudi Arabia,1.76m,right,1400000,63,Al-Nassr
29,Abdulrahman Ghareeb,Midfielder,26,Saudi Arabia,1.65m,right,2500000,65,Al-Nassr
77,Jaloliddin Masharipov,Forward,29,Uzbekistan,1.72m,right,2000000,64,Al-Nassr
23,Ayman Yahya,Forward,22,Saudi Arabia,1.68m,both,600000,61,Al-Nassr
7,Cristiano Ronaldo,Forward,38,Portugal,1.88m,right,15000000,88,Al-Nassr
16,Mohammed Marran,Forward,22,Saudi Arabia,1.75m,left,200000,60,Al-Nassr
31,Habib Al-Watyan,Forward,26,Saudi Arabia,1.83m,right,75000,60,Al-Hilal Saudi FC
1,Abdullah Al-Mayouf,Forward,36,Saudi Arabia,1.89m,right,50000,60,Al-Hilal Saudi FC
20,Hyun-soo Jang,Forward,31,"Korea, South",1.87m,right,1000000,62,Al-Hilal Saudi FC
5,Ali Al-Bulayhi,Forward,33,Saudi Arabia,1.82m,left,400000,61,Al-Hilal Saudi FC
4,Khalifah Al-Dawsari,Forward,24,Saudi Arabia,1.81m,right,225000,60,Al-Hilal Saudi FC
32,Muteb Al-Mufarrij,Forward,26,Saudi Arabia,1.82m,left,200000,60,Al-Hilal Saudi FC
70,Mohammed Jahfali,Forward,32,Saudi Arabia,1.85m,right,100000,60,Al-Hilal Saudi FC
67,Mohammed Al-Khaibari,Forward,21,Saudi Arabia,1.84m,right,50000,60,Al-Hilal Saudi FC
12,Yasser Al-Shahrani,Forward,31,Saudi Arabia,1.70m,right,1300000,62,Al-Hilal Saudi FC
66,Saud Abdulhamid,Forward,23,Saudi Arabia,1.75m,right,2800000,65,Al-Hilal Saudi FC
2,Mohammed Al-Burayk,Forward,30,Saudi Arabia,1.70m,right,900000,62,Al-Hilal Saudi FC
6,Gustavo Cuéllar,Forward,30,Colombia,1.76m,right,5000000,69,Al-Hilal Saudi FC
26,Abdulelah Al-Malki,Forward,28,Saudi Arabia,1.70m,right,600000,61,Al-Hilal Saudi FC
8,Abdullah Otayf,Forward,30,Saudi Arabia,1.77m,right,300000,61,Al-Hilal Saudi FC
19,André Carrillo,Forward,32,Peru,1.80m,right,2200000,64,Al-Hilal Saudi FC
28,Mohamed Kanno,Forward,28,Saudi Arabia,1.92m,right,1000000,62,Al-Hilal Saudi FC
16,Nasser Al-Dawsari,Forward,24,Saudi Arabia,1.78m,left,650000,61,Al-Hilal Saudi FC
7,Salman Al-Faraj,Forward,33,Saudi Arabia,1.80m,left,500000,61,Al-Hilal Saudi FC
43,Musab Al-Juwayr,Forward,20,Saudi Arabia,1.78m,right,400000,61,Al-Hilal Saudi FC
96,Michael,Forward,27,Brazil,1.66m,right,8000000,75,Al-Hilal Saudi FC
